hike,date,time,altimeter,accuracy,altitude,time_h_m,corrected_altitude,elevation_gain
Gregory Canyon,10/4/2015,15:44:00,,,6590,01:52,,797
Gregory Canyon,10/4/2015,15:47:00,,,6553,01:55,,761
Gregory Canyon,10/4/2015,15:54:00,,,6432,02:02,,640
Gregory Canyon,10/4/2015,15:57:00,,,6304,02:05,,512
Gregory Canyon,10/4/2015,16:03:00,,,6271,02:11,,479
Gregory Canyon,10/4/2015,16:07:00,,,6229,02:15,,436
Gregory Canyon,10/4/2015,16:13:00,,,5927,02:21,,134
Gregory Canyon,10/4/2015,16:18:00,,,5904,02:26,,112
Mt. Sanitas,9/13/2015,14:50:00,,,5743,00:00,5665,0
Mt. Sanitas,9/13/2015,14:50:00,,,5743,00:00,5665,0
Mt. Sanitas,9/13/2015,14:55:00,,,5753,00:05,5675,10
Mt. Sanitas,9/13/2015,15:00:00,,,5842,00:10,5764,98
Mt. Sanitas,9/13/2015,15:05:00,,,5930,00:15,5852,187
Mt. Sanitas,9/13/2015,15:11:00,,,6058,00:21,5980,315
Mt. Sanitas,9/13/2015,15:16:00,,,6145,00:26,6067,402
Mt. Sanitas,9/13/2015,15:21:00,,,6232,00:31,6154,489
Mt. Sanitas,9/13/2015,15:25:00,,,6294,00:35,6217,551
Mt. Sanitas,9/13/2015,15:31:00,,,6416,00:41,6338,672
Mt. Sanitas,9/13/2015,15:35:00,,,6445,00:45,6367,702
Mt. Sanitas,9/13/2015,15:41:00,,,6540,00:51,6463,797
Mt. Sanitas,9/13/2015,15:45:00,,,6616,00:55,6538,872
Mt. Sanitas,9/13/2015,15:50:00,,,6688,01:00,6610,945
Mt. Sanitas,9/13/2015,15:55:00,,,6737,01:05,6659,994
Mt. Sanitas,9/13/2015,16:00:00,,,6816,01:10,6738,1073
Mt. Sanitas,9/13/2015,16:05:00,,,6868,01:15,6791,1125
Mt. Sanitas,9/13/2015,16:10:00,,,6921,01:20,6843,1178
Mt. Sanitas,9/13/2015,16:16:00,,,6914,01:26,6836,1171
Mt. Sanitas,9/13/2015,16:22:00,,,6858,01:32,6781,1115
Mt. Sanitas,9/13/2015,16:25:00,,,6776,01:35,6699,1033
Mt. Sanitas,9/13/2015,16:31:00,,,6658,01:41,6581,915
Mt. Sanitas,9/13/2015,16:37:00,,,6514,01:47,6436,771
Mt. Sanitas,9/13/2015,16:40:00,,,6432,01:50,6354,689
Mt. Sanitas,9/13/2015,16:46:00,,,6304,01:56,6226,561
Mt. Sanitas,9/13/2015,16:51:00,,,6166,02:01,6089,423
Mt. Sanitas,9/13/2015,16:55:00,,,6071,02:05,5993,328
Mt. Sanitas,9/13/2015,17:01:00,,,5897,02:11,5820,154
Mt. Sanitas,9/13/2015,17:06:00,,,5789,02:16,5711,46
Mt. Sopris,8/29/2015,06:49:00,,,8394,00:00,8971,0
Mt. Sopris,8/29/2015,07:06:00,,,8636,00:17,9214,243
Mt. Sopris,8/29/2015,07:22:00,,,8918,00:33,9496,525
Mt. Sopris,8/29/2015,07:38:00,,,9082,00:49,9660,689
Mt. Sopris,8/29/2015,07:52:00,,,9286,01:03,9863,892
Mt. Sopris,8/29/2015,08:07:00,,,9364,01:18,9942,971
Mt. Sopris,8/29/2015,08:21:00,,,9683,01:32,10260,1289
Mt. Sopris,8/29/2015,08:38:00,,,9807,01:49,10385,1414
Mt. Sopris,8/29/2015,08:49:00,,,9843,02:00,10421,1450
Mt. Sopris,8/29/2015,09:08:00,,,9906,02:19,10483,1512
Mt. Sopris,8/29/2015,09:24:00,,,10014,02:35,10591,1620
Mt. Sopris,8/29/2015,09:38:00,,,10093,02:49,10670,1699
Mt. Sopris,8/29/2015,09:49:00,,,10670,03:00,11247,2276
Mt. Sopris,8/29/2015,10:14:00,,,11083,03:25,11661,2690
Mt. Sopris,8/29/2015,10:23:00,,,11208,03:34,11785,2814
Mt. Sopris,8/29/2015,10:34:00,,,11378,03:45,11956,2985
Mt. Sopris,8/29/2015,10:50:00,,,11601,04:01,12179,3208
Mt. Sopris,8/29/2015,11:05:00,,,11641,04:16,12218,3247
Mt. Sopris,8/29/2015,11:19:00,,,11857,04:30,12435,3464
Mt. Sopris,8/29/2015,11:34:00,,,11860,04:45,12438,3467
Mt. Sopris,8/29/2015,11:49:00,,,12047,05:00,12625,3654
Mt. Sopris,8/29/2015,12:07:00,,,12343,05:18,12920,3949
Mt. Sopris,8/29/2015,12:19:00,,,12389,05:30,12966,3995
Mt. Sopris,8/29/2015,12:35:00,,,12385,05:46,12963,3992
Mt. Sopris,8/29/2015,12:50:00,,,12267,06:01,12845,3874
Mt. Sopris,8/29/2015,13:07:00,,,12149,06:18,12727,3756
Mt. Sopris,8/29/2015,13:24:00,,,11834,06:35,12412,3441
Mt. Sopris,8/29/2015,13:42:00,,,11841,06:53,12418,3447
Mt. Sopris,8/29/2015,13:58:00,,,11765,07:09,12343,3372
Mt. Sopris,8/29/2015,14:13:00,,,11687,07:24,12264,3293
Mt. Sopris,8/29/2015,14:25:00,,,11086,07:36,11664,2693
Mt. Sopris,8/29/2015,14:37:00,,,10985,07:48,11562,2591
Mt. Sopris,8/29/2015,14:49:00,,,10585,08:00,11162,2191
Mt. Sopris,8/29/2015,15:14:00,,,10076,08:25,10654,1683
Mt. Sopris,8/29/2015,15:21:00,,,9942,08:32,10519,1548
Mt. Sopris,8/29/2015,15:45:00,,,9719,08:56,10296,1325
Mt. Sopris,8/29/2015,15:54:00,,,9558,09:05,10135,1164
Mt. Sopris,8/29/2015,16:15:00,,,9236,09:26,9814,843
Mt. Sopris,8/29/2015,16:29:00,,,9053,09:40,9630,659
Mt. Sopris,8/29/2015,16:37:00,,,8987,09:48,9565,594
Mt. Sopris,8/29/2015,16:49:00,,,8836,10:00,9414,443
